GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
1400000US06059074109,06059074109,"Census Tract 741.09, Orange County, California",63558,11704
1400000US06059074110,06059074110,"Census Tract 741.10, Orange County, California",102560,14723
1400000US06059074111,06059074111,"Census Tract 741.11, Orange County, California",85313,26765
1400000US06059074200,06059074200,"Census Tract 742, Orange County, California",78355,14530
1400000US06059074300,06059074300,"Census Tract 743, Orange County, California",56000,6459
1400000US06059074403,06059074403,"Census Tract 744.03, Orange County, California",38005,6115
1400000US06059074405,06059074405,"Census Tract 744.05, Orange County, California",39290,4651
1400000US06059074406,06059074406,"Census Tract 744.06, Orange County, California",47256,5532
1400000US06059074407,06059074407,"Census Tract 744.07, Orange County, California",38956,3219
1400000US06059074408,06059074408,"Census Tract 744.08, Orange County, California",45245,6873
1400000US06059074501,06059074501,"Census Tract 745.01, Orange County, California",36333,9309
1400000US06059074502,06059074502,"Census Tract 745.02, Orange County, California",58250,16441
1400000US06059074601,06059074601,"Census Tract 746.01, Orange County, California",62500,9681
1400000US06059074602,06059074602,"Census Tract 746.02, Orange County, California",60068,13845
1400000US06059074701,06059074701,"Census Tract 747.01, Orange County, California",61146,22372
1400000US06059074702,06059074702,"Census Tract 747.02, Orange County, California",59452,12249
1400000US06059074801,06059074801,"Census Tract 748.01, Orange County, California",64405,10592
1400000US06059074802,06059074802,"Census Tract 748.02, Orange County, California",49904,7901
1400000US06059074803,06059074803,"Census Tract 748.03, Orange County, California",56016,14470
1400000US06059074805,06059074805,"Census Tract 748.05, Orange County, California",47458,3283
1400000US06059074806,06059074806,"Census Tract 748.06, Orange County, California",54727,7230
1400000US06059074901,06059074901,"Census Tract 749.01, Orange County, California",48530,4193
1400000US06059074902,06059074902,"Census Tract 749.02, Orange County, California",45324,6273
1400000US06059075002,06059075002,"Census Tract 750.02, Orange County, California",30285,5941
1400000US06059075003,06059075003,"Census Tract 750.03, Orange County, California",38590,3844
1400000US06059075004,06059075004,"Census Tract 750.04, Orange County, California",30577,6938
1400000US06059075100,06059075100,"Census Tract 751, Orange County, California",44871,9373
1400000US06059075201,06059075201,"Census Tract 752.01, Orange County, California",49715,9073
1400000US06059075202,06059075202,"Census Tract 752.02, Orange County, California",64213,14016
